ID_Stage	Species	StageName	Stage2
10	Chicken	10	e10
12	Chicken	12	e12
14	Chicken	14	e14
17	Chicken	17	e17
0dph	Chicken	0dph	P0
Adult	Chicken	Adult	P155
adult	Chicken	adult	P155
5wph	Chicken	5wph	P35
7dph	Chicken	7dph	P7
10wph	Chicken	10wph	P70
12	Rabbit	12	e12
13	Rabbit	13	e13
14	Rabbit	14	e14
15.5	Rabbit	15.5	e15.5
16.5	Rabbit	16.5	e16.5
18	Rabbit	18	e18
19.5	Rabbit	19.5	e19.5
21	Rabbit	21	e21
23	Rabbit	23	e23
24	Rabbit	24	e24
27	Rabbit	27	e27
0dpb	Rabbit	0dpb	P0
2wpb	Rabbit	2wpb	P14
1ypb	Rabbit	1ypb	P186-P548
6mpb	Rabbit	6mpb	P186-P548
12wpb	Rabbit	12wpb	P84
9mpb	Rabbit	9mpb	P186-P548
10.5	Mouse	10.5	e10.5
11.5	Mouse	11.5	e11.5
12.5	Mouse	12.5	e12.5
13.5	Mouse	13.5	e13.5
14.5	Mouse	14.5	e14.5
15.5	Mouse	15.5	e15.5
16.5	Mouse	16.5	e16.5
17.5	Mouse	17.5	e17.5
18.5	Mouse	18.5	e18.5
0dpb	Mouse	0dpb	P0
2wpb	Mouse	2wpb	P14
4wpb	Mouse	4wpb	P28
3dpb	Mouse	3dpb	P3
9wpb	Mouse	9wpb	P63
11	Rat	11	e11
12	Rat	12	e12
13	Rat	13	e13
14	Rat	14	e14
15	Rat	15	e15
16	Rat	16	e16
17	Rat	17	e17
18	Rat	18	e18
19d	Rat	19d	e19
19	Rat	19	e19
20	Rat	20	e20
0dpb	Rat	0dpb	P0
3dpb	Rat	3dpb	P3
1wpb	Rat	1wpb	P7
2wpb	Rat	2wpb	P14
6wpb	Rat	6wpb	P42
16wpb	Rat	16wpb	P112
7dpb	Macaque	7dpb	P0
23dpb	Macaque	23dpb	P0
22dpb	Macaque	22dpb	P0
1dpb	Macaque	1dpb	P0
20dpb	Macaque	20dpb	P0
1ypb	Macaque	1ypb	P1y
3ypb	Macaque	3ypb	P3y
153dpb	Macaque	153dpb	P6m
6mpb	Macaque	6mpb	P6m
8ypb	Macaque	8ypb	P8y
9ypb	Macaque	9ypb	P9y
93	Macaque	93	e93
109	Macaque	109	e109
112	Macaque	112	e112
123	Macaque	123	e123
129	Macaque	129	e130
130	Macaque	130	e130
14ypb	Macaque	14ypb	P14-15y
15ypb	Macaque	15ypb	P14-15y
20ypb	Macaque	20ypb	P20-26y
22ypb	Macaque	22ypb	P22-26y
151dpb	Macaque	151dpb	P6m
11ypb	Macaque	11ypb	P11y
21ypb	Macaque	21ypb	P20-26y
26ypb	Macaque	26ypb	P20-26y
2dpb	Macaque	2dpb	P0
2ypb	Macaque	2ypb	2 years post birth
24dpb	Macaque	24dpb	24 days post birth
10w	Human	10w	10wpc
11w	Human	11w	11wpc
12w	Human	12w	12wpc
13w	Human	13w	13wpc
16w	Human	16w	16wpc
18w	Human	18w	18wpc
20w	Human	20w	20wpc
CS13	Human	CS13	4wpc
4w	Human	4w	4wpc
CS16	Human	CS16	5wpc
5w	Human	5w	5wpc
CS18	Human	CS18	6wpc
CS17	Human	CS17	6wpc
6w	Human	6w	6wpc
CS20	Human	CS20	7wpc
CS21	Human	CS21	7wpc
CS19	Human	CS19	7wpc
CS23	Human	CS23	8wpc
CS22	Human	CS22	8wpc
9w	Human	9w	9wpc
16ypb	Human	16ypb	teenager
17ypb	Human	17ypb	teenager
17ypb	Human	17ypb	oldTeenager
58ypb	Human	58ypb	senior
55ypb	Human	55ypb	senior
127dpb	Human	127dpb	infant
270dpb	Human	270dpb	infant
6mpb	Human	6mpb	infant
221dpb	Human	221dpb	infant
50ypb	Human	50ypb	olderMidAge
53ypb	Human	53ypb	olderMidAge
15dpb	Human	15dpb	newborn
6dpb	Human	6dpb	newborn
0dpb	Human	0dpb	newborn
34dpb	Human	34dpb	newborn
8ypb	Human	8ypb	school
7ypb	Human	7ypb	school
2ypb	Human	2ypb	toddler
4ypb	Human	4ypb	toddler
29ypb	Human	29ypb	youngAdult
28ypb	Human	28ypb	youngAdult
39ypb	Human	39ypb	youngMidAge
19w	Human	19w	19wpc
CS14	Human	CS14	4wpc
7w	Human	7w	7wpc
8w	Human	8w	8wpc
14ypb	Human	14ypb	teenager
13ypb	Human	13ypb	teenager
16ypb	Human	16ypb	oldTeenager
14ypb	Human	14ypb	youngTeenager
271dpb	Human	271dpb	infant
226dpb	Human	226dpb	infant
55ypb	Human	55ypb	olderMidAge
46ypb	Human	46ypb	olderMidAge
19dpb	Human	19dpb	newborn
18dpb	Human	18dpb	newborn
25ypb	Human	25ypb	youngAdult
32ypb	Human	32ypb	youngAdult
54ypb	Human	54ypb	olderMidAge
4dpb	Human	4dpb	newborn
94dpb	Human	94dpb	newborn
1ypb	Human	1ypb	toddler
39ypb	Human	39ypb	youngAdult
13.5	Opossum	13.5	e13.5
0dpb	Opossum	0dpb	P0
10dpb	Opossum	10dpb	P10
120dpb	Opossum	120dpb	P120
14dpb	Opossum	14dpb	P14
150dpb	Opossum	150dpb	P150
180dpb	Opossum	180dpb	P180
6mpb	Opossum	6mpb	P180
20mpb	Opossum	20mpb	P180
2dpb	Opossum	2dpb	P2
21dpb	Opossum	21dpb	P21
28dpb	Opossum	28dpb	P28
4dpb	Opossum	4dpb	P4
42dpb	Opossum	42dpb	P42
6dpb	Opossum	6dpb	P6
60dpb	Opossum	60dpb	P60
90dpb	Opossum	90dpb	P90
14mpb	Opossum	14mpb	P180
4mpb	Opossum	4mpb	P180
